ABEV3,AZUL4,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BPAC11,BRAP4,BRDT3,BRFS3,BRKM5,BRML3,BTOW3,CCRO3,CIEL3,CMIG4,CSAN3,CSNA3,CVCB3,CYRE3,ECOR3,EGIE3,ELET3,ELET6,EMBR3,ENBR3,EQTL3,FLRY3,GGBR4,GNDI3,GOAU4,GOLL4,HYPE3,IGTA3,IRBR3,ITSA4,ITUB4,JBSS3,KLBN11,LAME4,LREN3,MGLU3,MRFG3,MRVE3,MULT3,NATU3,PCAR4,PETR3,PETR4,QUAL3,RADL3,RAIL3,RENT3,SANB11,SBSP3,SMLS3,SUZB3,TAEE11,TIMP3,UGPA3,USIM5,VALE3,VIVT4,VVAR3,WEGE3,YDUQ3,Close
15.7,22.4,11.99,30.1,18.69,18.91,30.45,17.5,17.38,16,60.49,15.9,12.71,31.12,17.27,23.16,15.45,35.05,8.43,16.14,13.19,11.88,26.96,6.72,9.84,21.86,10.35,24.45,7.2,10.92,20.25,13.35,11.95,17.87,24.67,9.76,7.23,19.42,10.28,11.61,11.39,11.96,1.02,6.52,8.15,16.45,19.61,104.02,18.8,20.05,24.69,21.22,1.38,11.75,14.5,19.45,43.6,20.56,19.32,11.23,25.43,6.07,26.4,47.72,7.5,10.77,26.58,55311.59
16.07,22.96,12.95,33.48,19.92,20.43,31.15,18,18.42,16.05,61.46,16.27,13.78,30.55,17.63,23.88,16.26,37.2,8.63,16.16,13.33,12.16,27.74,7.15,10.55,21.1,10.36,25.02,7.16,11.22,20.62,13.62,12.76,18.34,25.9,9.8,7.7,20.94,10.7,11.77,11.88,12.29,1,6.69,8.5,17.17,20.05,106,20.75,22.13,24.8,21.5,1.71,12.21,14.8,20.28,43,20.14,19.35,11.25,26,6.18,27.49,48.2,7.5,10.66,26.51,57956.53
16.13,22.99,12.95,33.28,19.93,20.71,31.21,18.2,19.14,15.95,61.33,16.48,13.63,30.33,17.56,22.37,16.22,37.53,8.96,16.25,13.15,12.27,27.6,7.07,10.48,21.76,10.43,24.8,7.33,11.47,20,13.96,12.83,18.27,25.36,9.82,7.81,21.13,10.33,11.77,12.23,12.3,1.02,6.84,8.35,17.19,20.31,106,20.42,21.6,24.28,21.75,1.71,12.2,14.91,20.33,42.25,19.7,19.4,11.51,25.75,6.27,28.31,48.95,7,10.58,26.83,58015.46
15.77,22.85,12.55,32,18.99,19.58,30.54,17.95,18.99,16.35,60.93,16.42,12.84,29.8,17.19,21.88,15.93,36.5,8.93,16,12.55,11.83,27.04,6.81,10.13,21.23,10.07,24.5,7.31,11.34,20.2,13.84,12.22,18.07,24.26,9.78,7.51,20.18,10.32,11.69,12.1,12.1,1.02,6.6,8.12,16.67,20.2,104.81,19.02,20.15,23.9,22.1,1.58,11.79,14.65,19.75,40.96,20,19.38,11.36,25,6.04,28.3,49.09,6.5,10.43,26.05,56135.27
15.55,23.91,11.8,31.16,18.33,18.89,29.74,18.75,18.06,16.6,58.87,16.26,12.49,29.23,16.6,21.05,15.28,35.2,8.69,16,12.15,11.55,26.6,6.55,9.91,21.65,9.89,24.09,7.24,11.12,20.63,13.56,11.92,17.75,24.23,9.5,7.24,19.65,9.85,11.5,11.58,11.7,1,6.27,8.12,16,19.2,103.25,17.64,18.65,23.8,22.5,1.54,11.53,14.41,19.16,39.9,20.39,19.48,11.12,24.76,5.8,26.48,48.15,5.13,10.5,26,54298.33
16.07,23.92,12.19,31.99,19.11,19.62,30.4,19.2,18.43,16.7,60.25,16.73,13,28.88,17.32,22.4,15.77,35.43,8.48,16.03,12.45,11.83,27.44,6.99,10.4,22.13,9.77,24.66,7.53,11.13,20.4,13.65,12.27,17.95,24.86,9.52,7.48,20.22,10.29,11.61,11.67,11.9,0.98,6.45,8.09,16.33,19.25,105.6,18.18,19.09,24,22.5,1.62,11.75,14.9,19.64,39.31,20.6,20.2,11.75,25.9,5.8,26.62,48.6,6.8,10.43,26.59,55723.79
15.91,23.86,11.66,30.14,18.64,19.15,29.75,18.38,18.2,16.72,59.49,17.09,12.59,29,17.31,21.79,15.08,34.5,8.42,15.79,12.38,11.95,27.21,6.77,10.15,21.97,9.62,24.4,7.1,11,20.65,13.41,12,17.67,23.73,9.38,7.24,19.64,10.11,11.56,11.58,11.71,0.97,6.11,7.99,15.9,18.63,103.5,17.12,17.92,23.85,22.65,1.66,11.59,14.98,19.57,38,19.8,20.15,11.28,25.25,5.76,26.35,48.13,7.36,10.38,25.59,54302.57
15.67,24.2,10.69,28.1,17.7,18.32,29.35,18.5,18.22,16.75,57.63,17.19,11.79,28.6,16.5,21.41,14.4,32.11,8.35,15.6,12.01,11,26.54,6.32,9.32,22.49,9.28,23.73,6.7,11,20.4,13.36,11.53,16.9,22.8,9.25,6.87,18.73,9.58,11.18,11.17,11.25,0.95,6.02,7.56,15.72,18,101.58,16.36,16.9,23,22.66,1.7,11.03,15.35,19.35,38.43,19.52,19.18,11.49,24.65,5.67,26.72,47.74,7.38,10.62,24.62,52432.43
15.53,24.1,10.58,27.45,17.7,18.21,29.37,18.99,18.19,17.1,58.79,17.01,11.64,28.13,16.63,21.74,14.46,31.91,8.29,15.01,11.87,11.17,26.64,6.11,9.06,22.28,9.28,23.52,6.87,10.93,20.4,13.43,11.38,16.74,23.34,9.41,6.84,18.61,9.92,11.45,10.95,11.32,0.96,5.87,7.6,15.84,17.85,99.75,16.05,16.61,23.22,22.05,1.69,11.17,15.23,19.35,38.5,19.35,19.41,11.43,24.94,5.82,26.76,47.55,7.7,10.58,24.75,52411.03
15.19,23.94,10.14,24.87,17.05,17.24,28.65,18.69,18.2,17.23,57.01,17.47,10.97,30,15.44,21.37,13.72,30.66,8.6,14.77,11.6,10.64,24.98,5.62,8.58,22.39,8.84,23,6.75,11.45,20.4,13.9,10.85,15.88,22.62,9.47,6.51,17.81,9.4,11.53,10.68,10.99,0.89,5.38,7.14,15.13,17.02,97.34,15.06,15.51,22.4,21.2,1.68,10.44,15.59,18.09,38.2,19.13,18.65,11.21,24,5.92,26.98,46.59,6,10.65,23.4,50713.26
