ativo,preco_ativo,min_cotas,retorno_perc,risco_var
ABEV3,18.67,100,1.17432276,0.6791733925
AZUL4,49.5,100,1.265183489,1.28665345
B3SA3,43.9,100,1.126914757,1.273857268
BBAS3,44.2,100,1.320421162,1.288878188
BBDC3,30.77,100,1.367149229,1.074283876
BBDC4,33.25,100,1.114824191,1.158339417
BBSE3,32.8,100,1.349021631,0.07387032266
BPAC11,52.32,100,1.346815744,0.9185114282
BRAP4,30.64,100,1.323651172,0.9450210862
BRDT3,26.63,100,1.234840396,0.8395676518
BRFS3,36.6,100,1.110505539,0.6088536667
BRKM5,28.47,100,1.405274137,0.1750275152
BRML3,14.16,100,1.270507328,0.8966677264
BTOW3,49.49,100,1.182884556,1.250090592
CCRO3,16.8,100,1.162930463,1.021336159
CIEL3,7.65,100,1.169009425,0.96520646
CMIG4,13.8,100,1.459262093,0.02307541586
CSAN3,53.82,100,1.42022955,0.08503788351
CSNA3,12.43,100,1.261798105,0.1185418552
CVCB3,53.8,100,1.229564985,0.9897448607
CYRE3,24.26,100,1.434611192,0.007335025278
ECOR3,13.5,100,1.468200728,0.9765175841
EGIE3,42.48,100,1.432883001,0.6673742775
ELET3,35.54,100,1.254776367,1.676619016
ELET6,37.87,100,1.37787854,0.1275490058
EMBR3,17.1,100,1.248932947,0.6272651288
ENBR3,18.86,100,1.464765799,0.6098186703
EQTL3,97.59,100,1.364926635,0.6293705954
FLRY3,24.21,100,1.135999104,0.8594848706
GGBR4,12.52,100,1.499771492,0.9634680718
GNDI3,56.46,100,1.262293678,0.4891917561
GOAU4,5.83,100,1.479890565,0.09020439445
GOLL4,33.1,100,1.135775941,1.641753949
HYPE3,33.35,100,1.243213839,0.4799187559
IGTA3,46.5,100,1.416400165,0.8202521316
IRBR3,35.95,100,1.263891216,0.4356550159
ITSA4,12.33,100,1.135132515,1.023228464
ITUB4,33.21,100,1.249367405,1.141022849
JBSS3,29.45,100,1.428919546,0.089066068
KLBN11,14.55,100,1.430820518,0.01676068081
LAME4,19.76,100,1.277534652,0.1142011891
LREN3,48.93,100,1.44547639,0.0419779184
MGLU3,39.65,100,1.27673415,2.912657196
MRFG3,11.49,100,1.171903729,0.789616742
MRVE3,17.83,100,1.192709609,1.015895127
MULT3,27.53,100,1.307149218,0.9026051065
NATU3,31.87,100,1.20779622,0.09255038369
PCAR4,79.2,100,1.128815577,0.08379979205
PETR3,28.93,100,1.326242693,1.263424244
PETR4,26.52,100,1.408495873,1.332356128
QUAL3,30.97,100,1.232268743,0.8365166326
RADL3,101.46,100,1.459184252,0.05929128569
RAIL3,23.95,100,1.482585309,0.7943631457
RENT3,43.08,100,1.113462936,1.007643372
SANB11,44.72,100,1.305233261,1.113679719
SBSP3,50.12,100,1.327747222,0.05233238502
SMLS3,37.1,100,1.130461105,0.1696680642
SUZB3,32.23,100,1.458231814,0.2498221743
TAEE11,27.5,100,1.293115325,0.5525723937
TIMP3,11.46,100,1.205251386,0.8315892033
UGPA3,19.25,100,1.14661021,1.078884854
USIM5,7.3,100,1.204624234,0.01365731335
VALE3,45.67,100,1.274181721,0.1855582676
VIVT4,53,100,1.468517725,0.04038469234
VVAR3,7.59,100,1.36326461,1.062387779
WEGE3,22.87,100,1.437036744,0.0287330852
YDUQ3,34,100,1.144166498,1.025715154
KNRI11,255,100,1.034459623,0.00000002439507308
HGBS11,91.39,100,1.155745715,0.00000002442191504
BRCR11,156.8,100,1.004928197,0.0004531143639
HGLG11,110.42,100,1.191569048,0.000000008788765473
JSRE11,93,100,1.179647431,0.0005468412286
ABCP11,117.23,100,1.033451101,0.0000001657449177
HGCR11,90.8,100,1.150269281,0.00000003712070764
TBOF11,104.11,100,1.039947981,0.0004523085561
HFOF11,101248.78,100,1.094985905,0.00000003091171492
